The contents of the file /multi_marketplace_pipeline/data/flipkart_orders_clean.csv are as follows:

OrderID,OrderDate,OrderStatus,CustomerID,ProductID,Quantity,Price
1001,2023-01-15,Delivered,CUST001,PROD001,2,500
1002,2023-01-16,Cancelled,CUST002,PROD002,1,300
1003,2023-01-17,Delivered,CUST003,PROD003,1,150
1004,2023-01-18,Delivered,CUST001,PROD004,3,750
1005,2023-01-19,Returned,CUST004,PROD005,1,200
1006,2023-01-20,Delivered,CUST005,PROD006,2,400
1007,2023-01-21,Delivered,CUST006,PROD007,1,600
1008,2023-01-22,Cancelled,CUST007,PROD008,1,350
1009,2023-01-23,Delivered,CUST008,PROD009,2,800
1010,2023-01-24,Delivered,CUST009,PROD010,1,450
